"Code","Stock","Sector","Open","Last","Prv Close","Chg","High","Low","Y-High","Y-Low","Vol","DY*","B%","Vol MA (20)","RSI (14)","MACD (26, 12)","EPS*","P/E","Status"
="71064S","SUPERMX-C4S","362","0.000","","0.005","","-","-","","","0","","-","-","","","","","Active"
="71064T","SUPERMX-C4T","362","0.000","","0.020","","-","-","","","0","","-","-","","","","","Active"
="71064U","SUPERMX-C4U","362","0.000","","0.005","","-","-","","","0","","-","-","","","","","Active"
="71064V","SUPERMX-C4V","362","0.000","","0.005","","-","-","","","0","","-","-","","","","","Active"
="71064W","SUPERMX-C4W","362","0.000","","0.015","","-","-","","","0","","-","-","","","","","Active"
="71064X","SUPERMX-C4X","362","0.000","","0.005","","-","-","","","0","","-","-","","","","","Active"
="71064Y","SUPERMX-C4Y","362","0.000","","0.010","","-","-","","","0","","-","-","","","","","Active"
="71064Z","SUPERMX-C4Z","362","0.010","0.010","0.015","","0.010","0.010","","","40471","","-","-","","","","","Active"
="71065A","SUPERMX-C5A","362","0.000","","0.055","","-","-","","","0","","-","-","","","","","Active"
="71065B","SUPERMX-C5B","362","0.010","0.020","0.010","","0.020","0.010","","","25200","","-","-","","","","","Active"
="71065C","SUPERMX-C5C","362","0.045","0.050","0.035","","0.050","0.045","","","1657","","-","-","","","","","Active"
="71065D","SUPERMX-C5D","362","0.035","0.035","0.020","","0.035","0.035","","","7200","","-","-","","","","","Active"
="71065E","SUPERMX-C5E","362","0.040","0.040","0.030","","0.040","0.040","","","500","","-","-","","","","","Active"
="71065F","SUPERMX-C5F","362","0.000","","0.025","","-","-","","","0","","-","-","","","","","Active"
="71065G","SUPERMX-C5G","362","0.040","0.065","0.040","","0.070","0.040","","","20221","","-","-","","","","","Active"
="7106WA","SUPERMX-WA","162","0.135","0.160","0.135","","0.160","0.130","","","20053","","-","-","","","","","Active"
="0330","SUPREME","401","0.210","0.210","0.210","","0.210","0.205","","","1348","","-","-","","","2.78","","Active"
="6521","SURIA","164","1.600","1.520","1.600","","1.600","1.520","","","278","","-","-","","","9.68","","Active"
="5303","SWIFT","164","0.385","0.390","0.390","","0.395","0.385","","","1682","","-","-","","","4.57","","Active"
="5135","SWKPLNT","125","2.880","2.900","2.880","","2.910","2.880","","","329","","-","-","","","32.98","","Active"
="7186","SWSCAP","101","0.145","0.150","0.145","","0.150","0.145","","","1976","","-","-","","","-1.17","","Active"
="9717","SYCAL","103","0.170","0.170","0.180","","0.175","0.165","","","1813","","-","-","","","0.05","","Active"
="5173","SYGROUP","164","0.845","0.840","0.850","","0.845","0.835","","","3665","","-","-","","","14.59","","Active"
