"Code","Stock","Sector","Open","Last","Prv Close","Chg","High","Low","Y-High","Y-Low","Vol","DY*","B%","Vol MA (20)","RSI (14)","MACD (26, 12)","EPS*","P/E","Status","Mode"
="0048","ANCOMLB","464","0.090","0.090","0.090","-","0.090","0.090","0.140","0.085","565","","-","309160","50%","-0.001","-0.21","60.25","Active","Real Time"
="0049","OCNCASH","101","0.240","0.225","0.235","-0.010","0.240","0.220","0.435","0.190","85296","0.04%","63","2375600","64%","0.004","-0.09","","Active","Real Time"
="0050","SYSTECH","405","0.165","0.165","0.165","-","0.165","0.160","0.335","0.125","1030","","36","795345","78%","0.001","-1.17","","Active","Real Time"
="0050WA","SYSTECH-WA","405","0.035","0.040","0.040","-","0.040","0.035","0.115","0.025","1997","","50","382355","80%","","","","Active","Real Time"
="0051","CUSCAPI","105","0.145","0.145","0.145","-","0.145","0.140","0.265","0.130","2802","","11","505765","37%","-0.003","1.40","10.41","Active","Real Time"
="0053","OSKVI","410","0.600","0.620","0.600","+0.020","0.625","0.600","0.670","0.450","200","","34","25205","57%","0.013","11.97","5.21","Active","Real Time"
="0054","KARYON","102","0.155","0.155","0.150","+0.005","0.155","0.155","0.190","0.120","4961","2.45%","27","249590","50%","","1.87","8.28","Active","Real Time"
="0055","SERSOL","402","0.020","0.020","0.020","-","0.020","0.020","0.115","0.015","2101","","-","3035475","50%","","-0.46","","Active","Real Time"
="0055WB","SERSOL-WB","402","","","0.015","","-","-","0.055","0.005","0","","-","103670","45%","-0.003","","","Active","Real Time"
="0056","NCT","120","0.490","0.490","0.495","-0.005","0.495","0.490","0.520","0.440","1155","","32","1149050","52%","0.004","2.34","26.23","Active","Real Time"
="0058","JCBNEXT","102","","","1.750","","-","-","1.790","1.550","0","","-","13900","50%","0.013","38.83","4.50","Active","Real Time"
="0059","ECOHLDS","163","","","0.030","","-","-","0.060","0.020","0","","-","49775","50%","","-7.89","","Active","Real Time"
="0060","HM","405","0.145","0.150","0.150","-","0.155","0.145","0.295","0.075","11601","","73","937205","100%","-0.003","0.66","33.39","Active","Real Time"
="0060WC","HM-WC","405","","","0.005","","-","-","0.045","0.005","0","","-","143225","40%","-0.001","","","Active","Real Time"
="0060WD","HM-WD","405","0.065","0.065","0.065","-","0.065","0.060","0.100","0.040","21516","","29","267895","50%","-0.003","","","Active","Real Time"
="0064","EFFICEN","102","0.090","0.095","0.095","-","0.095","0.090","0.210","0.070","3098","","34","552200","64%","-0.002","0.35","28.58","Active","Real Time"
="0065","EFORCE","105","0.220","0.220","0.225","-0.005","0.220","0.215","0.310","0.195","8900","","44","561255","44%","-0.003","0.83","26.44","Active","Real Time"
="0066","VSOLAR","405","0.045","0.050","0.045","+0.005","0.050","0.040","0.085","0.030","21719","","79","247880","60%","0.001","-1.29","","Active","Real Time"
="0066WC","VSOLAR-WC","405","","","0.005","","-","-","0.030","0.005","0","","-","200130","33%","-0.002","","","Active","Real Time"
="0068","ASDION","405","0.025","0.025","0.020","+0.005","0.025","0.025","0.035","0.015","56","","100","192350","50%","","0.75","2.59","Active, Alert","Real Time"
="0069","VINVEST","405","0.035","0.040","0.040","-","0.040","0.030","0.080","0.030","12584","","36","1143550","50%","","0.78","","Active","Real Time"
="0070","MQTECH","405","0.045","0.050","0.050","-","0.050","0.045","0.150","0.045","141","","1","84915","100%","","-1.14","","Active","Real Time"
