Code,Stock,Sector,Open,Last,Prv Close,Chg,High,Low,Y-High,Y-Low,Vol,DY*,B%,Vol MA (20),RSI (14),"MACD (26,12)",EPS*,P/E,Status
"=""0652PO""",HSI-PWPO,Technology,0.315,0.34,0.320,+0.020,0.345,0.315,0.5,0.265,3004,,45,-,34%,,,,Active
"=""0652PP""",HSI-PWPP,Technology,0.47,0.49,0.460,+0.030,0.490,0.470,0.66,0.38,1410,,68,-,36%,,,,Active
"=""0652PQ""",HSI-PWPQ,Technology,,,0.630,,-,-,0.81,0.535,0,,-,-,0%,,,,Active
"=""0652PR""",HSI-PWPR,Technology,0.5,0.525,0.495,+0.030,0.525,0.500,0.675,0.45,1103,,82,-,0%,,,,Active
"=""0652PS""",HSI-PWPS,Technology,0.365,0.375,0.350,+0.025,0.375,0.365,0.485,0.32,450,,67,-,0%,,,,Active
"=""0652PT""",HSI-PWPT,Technology,0.155,0.155,0.145,+0.010,0.155,0.155,0.225,0.145,90,,100,-,0%,,,,Active
"=""0652PU""",HSI-PWPU,Technology,,,1.030,,-,-,1.16,0.965,0,,-,-,0%,,,,Active
"=""0652PV""",HSI-PWPV,Technology,0.16,0.16,0.150,+0.010,0.160,0.160,0.19,0.145,100,,-,-,0%,,,,Active
"=""5138""",HSPLANT,Industrial & Consumer Products,2.28,2.26,2.260,-,2.280,2.260,2.35,1.7,1033,5.53%,31,125480,65%,0.016,25.59,8.84,Active
"=""0185""",HSSEB,Industrial & Consumer Products,0.36,0.41,0.365,+0.045,0.420,0.360,1.01,0.34,52107,,39,1040865,57%,-0.007,4.96,8.34,Active
"=""065746""",HSTECH-C46,Technology,,,0.045,,-,-,0.2,0.03,0,,-,232650,32%,-0.038,,,Active
"=""065748""",HSTECH-C48,Technology,,,0.020,,-,-,0.105,0.02,0,,-,-,36%,,,,Active
"=""065750""",HSTECH-C50,Technology,0.08,0.08,0.090,-0.010,0.080,0.080,0.21,0.07,80,,-,-,0%,,,,Active
"=""065743""",HSTECH-H43,Technology,,,0.070,,-,-,0.21,0.06,0,,-,13740,31%,,,,Active
"=""065745""",HSTECH-H45,Technology,,,0.060,,-,-,0.06,0.045,0,,-,-,0%,,,,Active
"=""065747""",HSTECH-H47,Technology,,,0.150,,-,-,0.16,0.145,0,,-,-,0%,,,,Active
"=""5028""",HTPADU,Industrial & Consumer Products,1.64,1.68,1.640,+0.040,1.690,1.640,3.14,1.47,4781,,91,200640,39%,-0.03,6.01,38.88,Active
"=""5062""",HUAYANG,Industrial & Consumer Products,0.195,0.2,0.200,-,0.200,0.195,0.29,0.15,921,,23,182010,44%,-0.004,1.49,13.91,Active
"=""5062WA""",HUAYANG-WA,Industrial & Consumer Products,0.04,0.04,0.045,-0.005,0.040,0.035,0.105,0.03,933,,49,58900,45%,-0.003,,,Active
"=""7013""",HUBLINE,Industrial & Consumer Products,0.03,0.035,0.030,+0.005,0.035,0.030,0.055,0.025,24416,,13,2355835,33%,,-0.45,,Active
"=""5000""",HUMEIND,Industrial & Consumer Products,3.45,3.41,3.400,+0.010,3.450,3.390,3.79,2.4,622,2.93%,30,202100,46%,0.017,30.84,11.09,Active
"=""5024""",HUPSENG,Industrial & Consumer Products,1.05,1.06,1.050,+0.010,1.080,1.040,1.14,0.91,6841,6.60%,66,321590,65%,0.007,7.2,14.72,Active
"=""8478""",HWATAI,Industrial & Consumer Products,,,0.430,,-,-,0.53,0.385,0,,-,17550,43%,-0.004,1.73,24.85,Active
"=""9601""",HWGB,Industrial & Consumer Products,0.125,0.13,0.130,-,0.130,0.125,0.275,0.125,906,,27,154115,33%,-0.003,-1.08,,Active
"=""0376""",IAB,Property,1.61,1.64,1.610,+0.030,1.650,1.580,2.0,0.62,25522,,66,7598490,37%,0.055,,,Active
